Reporting starts,Campaign name,Objective,Reach,Impressions,Frequency,Amount spent (VND),CTR (link click-through rate),CPC (All) (VND),"CPM (cost per 1,000 impressions) (VND)","Cost per 1,000 people reached (VND)",Conversions,Conversion values,Cost per conversion,Post comments,Link clicks,Messaging Conversations Started
2025-04-10,10_HEAD_Lan Ho diep,Messages,433,523,1.207852,38828,1.147228,882.454545,74240.91778,89672.05543,0,0,0,0,6,1
2025-04-10,05_HEAD_Thiet ke,Messages,565,636,1.125664,53967,0.157233,1101.367347,84853.77359,95516.81416,0,0,0,0,1,1
2025-04-10,07_HEAD_Hoa cat canh,Engagement,525,677,1.289524,77181,0.443131,1607.9375,114004.4313,147011.4286,0,0,0,0,3,0
2025-04-10,01_HEAD_Embrace of Tana,Messages,2377,2822,1.187211,85103,0.460666,559.888158,30156.98087,35802.69247,0,0,0,1,13,3
2025-04-10,05_HEAD_Thiet ke,Messages,519,666,1.283237,51938,0.900901,961.814815,77984.98499,100073.2177,0,0,0,0,6,0
2025-04-10,11_Q7_Hon hop,Messages,5262,5692,1.081718,204638,2.266339,326.376396,35951.86226,38889.77575,0,0,0,5,129,20
2025-04-10,11_Q7_Hon hop,Messages,84,102,1.214286,11787,3.921569,1178.7,115558.8235,140321.4286,0,0,0,0,4,1
2025-04-10,07_HEAD_Hoa cat canh,Engagement,929,1293,1.391819,105759,0.928074,801.204545,81793.50348,113841.7653,0,0,0,0,12,2
2025-04-10,BR_HTM_Tuong tac,Engagement,918,972,1.058824,26205,1.234568,363.958333,26959.87654,28545.75163,0,0,0,0,12,0
2025-04-10,BR_HTM_Tuong tac,Engagement,842,1031,1.224466,30993,2.812803,153.430693,30061.10572,36808.7886,0,0,0,0,29,0
2025-04-10,07_Q7_Hoa cat canh,Engagement,396,501,1.265152,49805,0.798403,1277.051282,99411.17765,125770.202,0,0,0,0,4,1
2025-04-10,07_HEAD_Hoa cat canh,Engagement,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-10,10_HEAD_Lan Ho diep,Messages,499,586,1.174349,35640,0.853242,774.782609,60819.11263,71422.84569,0,0,0,1,5,3
2025-04-10,08_HEAD_Daily Flower,Messages,867,1110,1.280277,62583,0.45045,907,56381.08108,72183.391,0,0,0,0,5,3
2025-04-10,11_Q7_Hon hop,Messages,1345,1429,1.062454,54273,1.819454,399.066176,37979.70609,40351.67286,0,0,0,2,26,5
2025-04-10,BR_Mokar_Tuong tac,Engagement,1531,1592,1.039843,26128,0.565327,140.473118,16412.0603,17065.96995,0,0,0,0,9,0
2025-04-10,11_Q2_Hon hop,Messages,591,700,1.184433,56679,0.571429,776.424658,80970,95903.5533,0,0,0,0,4,4
2025-04-10,07_HEAD_Hoa cat canh,Engagement,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-04-09,11_Q7_Hon hop,Messages,810,927,1.144444,91114,0.862999,1001.252747,98289.10464,112486.4198,0,0,0,3,8,6
2025-04-09,11_Q2_Hon hop,Messages,499,583,1.168337,40547,0.343053,1762.913043,69548.88508,81256.51303,0,0,0,0,2,1
2025-04-09,10_HEAD_Lan Ho diep,Messages,421,553,1.313539,57740,1.446655,978.644068,104412.2966,137149.6437,0,0,0,1,8,3
2025-04-09,05_HEAD_Thiet ke,Messages,287,307,1.069686,40072,1.628664,1214.30303,130527.6873,139623.6934,0,0,0,0,5,1
2025-04-09,05_HEAD_Thiet ke,Messages,151,158,1.046358,19987,0.632911,1537.461538,126500,132364.2384,0,0,0,0,1,0
